Date,Open,High,Low,Close,Adj Close,Volume
2003-08-01,184.369400,208.951996,172.078110,208.951996,101.090462,2826545386
2003-09-01,202.806351,221.243286,190.515060,208.951996,101.090462,2786226200
2003-10-01,208.951996,251.971527,202.806351,233.534576,112.983429,3791995007
2003-11-01,233.534576,239.680222,196.660706,227.388931,110.010162,2612881960
2003-12-01,227.388931,258.117157,221.243286,245.825882,118.929939,2683297653
2004-01-01,245.825882,368.738800,239.680222,319.573639,162.746246,5136810717
2004-02-01,319.573639,387.175751,301.136688,344.156219,175.265152,3327351088
2004-03-01,350.301880,381.030121,307.282349,344.156219,175.265152,3566894626
2004-04-01,338.010590,381.030121,325.719299,356.447510,181.524597,4337698343
2004-05-01,356.447510,356.447510,276.554108,307.282349,156.486771,3736463835
2004-06-01,307.282349,313.427979,258.117157,288.845398,147.097565,3426311377
2004-07-01,288.845398,319.573639,282.699768,307.282349,165.448563,1899295565
2004-08-01,301.136688,319.573639,282.699768,307.282349,165.448563,1897837215
2004-09-01,307.282349,362.593170,307.282349,356.447510,191.920303,3723999728
2004-10-01,350.301880,393.321411,350.301880,387.175751,208.465149,2887905892
2004-11-01,387.175751,479.360474,387.175751,448.632233,241.554901,3137572449
2004-12-01,454.777863,491.651764,430.195282,473.214813,254.790787,3471204941
2005-01-01,474.443939,503.943054,452.319611,476.902191,265.505066,3173846090
2005-02-01,476.902191,476.902191,430.195282,444.944824,247.713547,4830903137
2005-03-01,444.944824,462.152649,403.154449,420.362244,234.027664,4099464677
2005-04-01,420.362244,435.111786,334.323181,393.321411,218.973282,3130054933
2005-05-01,393.321411,427.737030,388.404877,408.070953,227.184753,3278456720
2005-06-01,405.612701,408.070953,351.531006,368.738800,205.287445,3842530780
2005-07-01,368.738800,400.696167,361.364044,395.779663,231.132523,2971387747
2005-08-01,393.321411,412.987457,299.907562,336.781464,196.677979,3086347165
2005-09-01,331.864929,358.905792,324.490143,356.447510,208.162842,2169163412
2005-10-01,363.822296,371.197083,314.657135,324.490143,189.499969,1427087345
2005-11-01,324.490143,329.406677,270.408478,317.115387,185.193176,2142968045
2005-12-01,322.031891,410.529205,314.657135,403.154449,235.439331,3325874430
2006-01-01,403.154449,494.110016,398.237915,437.570068,255.537888,5252022350
2006-02-01,437.570068,449.861359,390.863129,398.237915,232.568146,2541365890
2006-03-01,395.779663,442.486572,368.738800,427.737030,249.795410,4783084733
2006-04-01,408.070953,494.110016,408.070953,471.985687,275.636383,4330978139
2006-05-01,479.360474,583.836426,395.779663,415.445740,242.617371,14305483402
2006-06-01,403.154449,430.195282,373.655334,422.820496,246.924179,6087489724
2006-07-01,430.195282,452.319611,393.321411,432.653534,255.111282,5945171508
2006-08-01,442.486572,546.962585,430.195282,516.234314,304.394104,7223952670
2006-09-01,528.525635,589.982117,503.943054,571.545166,337.007690,4632813735
2006-10-01,565.399536,694.458130,546.962585,669.875488,394.987610,3983158777
2006-11-01,663.729858,719.040710,639.147278,682.166809,402.235046,3986193443
2006-12-01,712.895020,725.186340,669.875488,712.895020,420.353790,2974989891
2007-01-01,712.895020,725.186340,577.690796,633.001648,373.245148,5046374753
2007-02-01,633.001648,645.292908,528.525635,571.545166,337.007690,3209997698
2007-03-01,571.545166,633.001648,540.816956,614.564697,362.373962,5884768995
2007-04-01,620.710327,817.371033,608.419067,755.914551,445.719879,8916780966
2007-05-01,749.768921,823.516663,731.331970,798.934082,471.086090,4987214992
2007-06-01,798.934082,811.225403,743.623291,768.205872,452.967438,2574773683
2007-07-01,786.642822,934.138306,768.205872,866.536194,522.240479,9787747042
2007-08-01,854.244934,854.244934,645.292908,798.934082,481.498260,6613101610
2007-09-01,792.788452,891.118774,755.914551,866.536194,522.240479,3535571640
2007-10-01,878.827515,995.594788,841.953613,927.992676,559.278748,4895206779
2007-11-01,946.429626,958.720947,798.934082,872.681885,525.944336,7965011756
2007-12-01,884.973145,927.992676,792.788452,860.390564,518.536682,3056502873
2008-01-01,860.390564,872.681885,626.855957,817.371033,492.609833,4573322440
2008-02-01,829.662354,854.244934,780.497131,805.079773,485.202057,2827340665
2008-03-01,786.642822,805.079773,676.021179,774.351501,466.683014,2887259095
2008-04-01,774.351501,792.788452,639.147278,706.749390,425.940826,4632754750
2008-05-01,706.749390,768.205872,663.729858,712.895020,429.644684,3043690957
2008-06-01,712.895020,719.040710,633.001648,639.147278,385.198639,2052534113
2008-07-01,651.438599,749.768921,645.292908,731.331970,472.019806,3018225779
